date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:11:46	69392/69392	---M--	200	added ('OK')	application/font-woff	etag:%225cf0a9aa-10f10%22	http://light.pinsupreme.com/icon_fonts_assets/batch-icons/fonts/batch.woff?lqk6vk	C:/Users/Dennis%20Effa%20Amponsah/Desktop/TPMS/light.pinsupreme.com/icon_fonts_assets/batch-icons/fonts/batch35c7.woff	(from http://light.pinsupreme.com/icon_fonts_assets/batch-icons/style.css)
17:11:46	54626/54626	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225cf0a9aa-d562%22	http://light.pinsupreme.com/icon_fonts_assets/dashicons/dashicons.eot?b1d2984e1a886fadb803092a84de341c	C:/Users/Dennis%20Effa%20Amponsah/Desktop/TPMS/light.pinsupreme.com/icon_fonts_assets/dashicons/dashiconsbb5d.eot	(from http://light.pinsupreme.com/icon_fonts_assets/dashicons/dashicons.css)
17:11:47	54626/54626	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225cf0a9aa-d562%22	http://light.pinsupreme.com/icon_fonts_assets/dashicons/dashicons.eot?	C:/Users/Dennis%20Effa%20Amponsah/Desktop/TPMS/light.pinsupreme.com/icon_fonts_assets/dashicons/dashiconsd41d.eot	(from http://light.pinsupreme.com/icon_fonts_assets/dashicons/dashicons.css)
17:11:52	54444/54444	---M--	200	added ('OK')	application/octet-stream	etag:%225cf0a9aa-d4ac%22	http://light.pinsupreme.com/icon_fonts_assets/dashicons/dashicons.ttf?b1d2984e1a886fadb803092a84de341c	C:/Users/Dennis%20Effa%20Amponsah/Desktop/TPMS/light.pinsupreme.com/icon_fonts_assets/dashicons/dashiconsbb5d.ttf	(from http://light.pinsupreme.com/icon_fonts_assets/dashicons/dashicons.css)
17:11:56	59872/59872	---M--	200	added ('OK')	application/font-woff	etag:%225cf0a9aa-e9e0%22	http://light.pinsupreme.com/icon_fonts_assets/typicons/typicons.woff	C:/Users/Dennis%20Effa%20Amponsah/Desktop/TPMS/light.pinsupreme.com/icon_fonts_assets/typicons/typicons.woff	(from http://light.pinsupreme.com/icon_fonts_assets/typicons/typicons.css)
17:11:58	186474/186474	---M--	200	added ('OK')	image/svg+xml	etag:%225cf0a9aa-2d86a%22	http://light.pinsupreme.com/icon_fonts_assets/typicons/typicons.svg	C:/Users/Dennis%20Effa%20Amponsah/Desktop/TPMS/light.pinsupreme.com/icon_fonts_assets/typicons/typicons.svg	(from http://light.pinsupreme.com/icon_fonts_assets/typicons/typicons.css)
17:12:04	100204/100204	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225cf0a9aa-1876c%22	http://light.pinsupreme.com/icon_fonts_assets/typicons/typicons.eot	C:/Users/Dennis%20Effa%20Amponsah/Desktop/TPMS/light.pinsupreme.com/icon_fonts_assets/typicons/typicons.eot	(from http://light.pinsupreme.com/icon_fonts_assets/typicons/typicons.css)
17:12:05	100204/100204	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225cf0a9aa-1876c%22	http://light.pinsupreme.com/icon_fonts_assets/typicons/typicons.eot?	C:/Users/Dennis%20Effa%20Amponsah/Desktop/TPMS/light.pinsupreme.com/icon_fonts_assets/typicons/typiconsd41d.eot	(from http://light.pinsupreme.com/icon_fonts_assets/typicons/typicons.css)
17:12:10	99920/99920	---M--	200	added ('OK')	application/octet-stream	etag:%225cf0a9aa-18650%22	http://light.pinsupreme.com/icon_fonts_assets/typicons/typicons.ttf	C:/Users/Dennis%20Effa%20Amponsah/Desktop/TPMS/light.pinsupreme.com/icon_fonts_assets/typicons/typicons.ttf	(from http://light.pinsupreme.com/icon_fonts_assets/typicons/typicons.css)
17:12:12	44720/44720	---M--	200	added ('OK')	application/octet-stream	etag:%225cf0a9aa-aeb0%22	http://light.pinsupreme.com/icon_fonts_assets/weather-icons/font/weathericons-regular-webfont.woff2	C:/Users/Dennis%20Effa%20Amponsah/Desktop/TPMS/light.pinsupreme.com/icon_fonts_assets/weather-icons/font/weathericons-regular-webfont.woff2	(from http://light.pinsupreme.com/icon_fonts_assets/weather-icons/css/weather-icons.min.css)
17:12:15	99774/99774	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225cf0a9aa-185be%22	http://light.pinsupreme.com/icon_fonts_assets/weather-icons/font/weathericons-regular-webfont.eot	C:/Users/Dennis%20Effa%20Amponsah/Desktop/TPMS/light.pinsupreme.com/icon_fonts_assets/weather-icons/font/weathericons-regular-webfont.eot	(from http://light.pinsupreme.com/icon_fonts_assets/weather-icons/css/weather-icons.min.css)
17:12:17	184969/184969	---M--	200	added ('OK')	image/svg+xml	etag:%225cf0a9aa-2d289%22	http://light.pinsupreme.com/icon_fonts_assets/weather-icons/font/weathericons-regular-webfont.svg	C:/Users/Dennis%20Effa%20Amponsah/Desktop/TPMS/light.pinsupreme.com/icon_fonts_assets/weather-icons/font/weathericons-regular-webfont.svg	(from http://light.pinsupreme.com/icon_fonts_assets/weather-icons/css/weather-icons.min.css)
17:12:20	56468/56468	---M--	200	added ('OK')	application/font-woff	etag:%225cf0a9aa-dc94%22	http://light.pinsupreme.com/icon_fonts_assets/weather-icons/font/weathericons-regular-webfont.woff	C:/Users/Dennis%20Effa%20Amponsah/Desktop/TPMS/light.pinsupreme.com/icon_fonts_assets/weather-icons/font/weathericons-regular-webfont.woff	(from http://light.pinsupreme.com/icon_fonts_assets/weather-icons/css/weather-icons.min.css)
17:12:22	99774/99774	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225cf0a9aa-185be%22	http://light.pinsupreme.com/icon_fonts_assets/weather-icons/font/weathericons-regular-webfont.eot?	C:/Users/Dennis%20Effa%20Amponsah/Desktop/TPMS/light.pinsupreme.com/icon_fonts_assets/weather-icons/font/weathericons-regular-webfontd41d.eot	(from http://light.pinsupreme.com/icon_fonts_assets/weather-icons/css/weather-icons.min.css)
17:12:23	99564/99564	---M--	200	added ('OK')	application/octet-stream	etag:%225cf0a9aa-184ec%22	http://light.pinsupreme.com/icon_fonts_assets/weather-icons/font/weathericons-regular-webfont.ttf	C:/Users/Dennis%20Effa%20Amponsah/Desktop/TPMS/light.pinsupreme.com/icon_fonts_assets/weather-icons/font/weathericons-regular-webfont.ttf	(from http://light.pinsupreme.com/icon_fonts_assets/weather-icons/css/weather-icons.min.css)
